TRANSACTION_AMOUNT,FIRST_TWO_DIGITS,EXPECTED_COUNTS,ACTUAL_COUNTS,EXPECTED_FREQUENCIES,ACTUAL_FREQUENCIES,ABSOLUTE_DEVIATION,Z_STATISTIC
43.0,43,395.5049427731824,310,0.009984220906600923,0.007825713780829526,0.0021585071257713973,4.295830759351085
44.0,44,386.6164345353461,363,0.00975983728915624,0.009163658394971347,0.0005961788941848921,1.1814366128685723
45.0,45,378.1186782195033,463,0.009545317906230361,0.011688082195238937,0.002142764289008576,4.360285772965759
46.0,46,369.9864600053838,357,0.009340026254143432,0.009012192966955292,0.0003278332871881392,0.6522049743437524
47.0,47,362.1966897515592,418,0.009143379439869719,0.010552091485118521,0.0014087120452488024,2.919264736046042
48.0,48,354.7281820103739,394,0.008954842652926412,0.0099462297730543,0.0009913871201278884,2.0678622113904814
49.0,49,347.5614635932016,752,0.008773924307505152,0.018983666978012268,0.010209742670507116,21.762717258025983
50.0,50,340.6786040048407,739,0.00860017176191757,0.01865549188397748,0.010055320122059912,21.646679542208553
51.0,51,334.06306563774467,248,0.008433167536862764,0.0062605710246636205,0.002172596512199144,4.701225787528754
52.0,52,327.6995710907562,341,0.008272525965989857,0.008608285158912479,0.00033575919292262203,0.7100524219562956
53.0,53,321.57398537119496,237,0.00811789022217946,0.0059828844066341855,0.0021350058155452743,4.707508926994212
54.0,54,315.67321106823135,238,0.007968929671275373,0.006008128644636862,0.0019608010266385116,4.3609897889708185
55.0,55,309.98509486113386,293,0.007825337511956526,0.007396561734784035,0.0004287757771724906,0.9399981059684378
56.0,56,304.4983439577836,239,0.007686828666290955,0.006033372882639537,0.001653455783651418,3.7392581271184464
57.0,57,299.2024512542337,312,0.007553137890445907,0.007876202256834877,0.00032306436638897,0.7136451976700583
58.0,58,294.08762817162193,260,0.007424018079206875,0.006563501880695731,0.0008605161985111437,1.9658893879365795
59.0,59,289.1447442670166,371,0.007299238741499423,0.009365612298992755,0.0020663735574933317,4.801962739025689
60.0,60,284.3652728342383,364,0.007178584627123376,0.009188902632974024,0.0020103180058506486,4.709700192207517
61.0,61,279.74124181281655,214,0.007061854487486849,0.00540226693257264,0.001659587554914209,3.914559260817606
62.0,62,275.2651894104011,232,0.006948859955327825,0.005856663216620806,0.0010921967387070184,2.5865980520672833
63.0,63,270.93012391898947,196,0.006839424530305442,0.004947870648524475,0.0018915538817809675,4.537434391958563
64.0,64,266.7294872697153,220,0.006733382658968403,0.005553732360588696,0.0011796502983797072,2.840211240606428
65.0,65,262.657121926605,278,0.006630578899013076,0.007017898164743897,0.0003873192657308216,0.9188997553379373
